# Stashed projects — index

Single source of truth for parked work. **This file is auto-generated** by `tools/stash-status.mjs` from the YAML metadata block in each brief. Edit the brief, not this file.

**Status legend:** 🟡 Open · ▶️ Ready (newly unblocked, re-run dependency check) · ⚪ Stale (>30 days since `verified` — re-verify file/line refs) · 🟢 Done

| Status | Title | id | Last verified | Coordinates / depends | Next action |
|--------|-------|----|---------------|----------------------|-------------|
| 🟡 | [Call Centre — external calls, attendance note, Clio time-entry mirror](CALL_CENTRE_EXTERNAL_ATTENDANCE_NOTE_AND_CLIO_MIRROR.md) | `call-centre-external-attendance-note-and-clio-mirror` | 2026-04-20 (0d) | depends_on: clio-token-refresh-shared-primitive; coordinates_with: home-todo-single-pickup-surface, demo-mode-hardening-production-presentable-end-to-end, forms-ia-ld-undertaking-complaint-flow, forms-stream-persistence, realtime-delta-merge, session-probing-activity-tab-visibility-and-persistence, ccl-backend-chain-silent-autopilot-service, ccl-prompt-feedback-loop-self-driving-template-improvement, ccl-review-experience-calm-rail-override-rerun-fix-docx-fidelity, ccl-review-landing-terser-intro-start-from-scratch-affordance-pipeline-toasting, ccl-review-pickup-via-todo-and-addressee-fix | See brief §3 (Plan) |
| 🟡 | [CCL Few-Shot Example Library](CCL_FEW_SHOT_EXAMPLE_LIBRARY.md) | `ccl-few-shot-example-library` | 2026-04-20 (0d) | — | See brief §3 (Plan) |
| 🟡 | [CCL Per-Field Flag Rate Sparkline](CCL_PER_FIELD_FLAG_RATE_SPARKLINE.md) | `ccl-per-field-flag-rate-sparkline` | 2026-04-20 (0d) | — | See brief §3 (Plan) |
| 🟡 | [CCL Prompt Version A/B Dashboard](CCL_PROMPT_VERSION_A_B_DASHBOARD.md) | `ccl-prompt-version-a-b-dashboard` | 2026-04-20 (0d) | — | See brief §3 (Plan) |
| 🟡 | [CCL review — pickup via To Do + addressee fix + autopilot refinements](CCL_REVIEW_PICKUP_VIA_TODO_AND_ADDRESSEE_FIX.md) | `ccl-review-pickup-via-todo-and-addressee-fix` | 2026-04-20 (0d) | depends_on: home-todo-single-pickup-surface; coordinates_with: ccl-review-experience-calm-rail-override-rerun-fix-docx-fidelity, ccl-review-landing-terser-intro-start-from-scratch-affordance-pipeline-toasting, call-centre-external-attendance-note-and-clio-mirror, ccl-prompt-feedback-loop-self-driving-template-improvement, chat-tab-removal-retain-infra, demo-mode-hardening-production-presentable-end-to-end, home-animation-order-and-demo-insert-fidelity, ui-responsiveness-hover-scroll-and-tab-navigation, userbubble-and-private-hub-tools-control-consolidation-and-sort, ux-realtime-navigation-programme; ⚠️ conflicts_with: ccl-backend-chain-silent-autopilot-service | See brief §3 (Plan) |
| 🟡 | [CCL Trace Explorer Inline](CCL_TRACE_EXPLORER_INLINE.md) | `ccl-trace-explorer-inline` | 2026-04-20 (0d) | — | See brief §3 (Plan) |
| 🟡 | [Chat tab removal — retain bot infra](CHAT_TAB_REMOVAL_RETAIN_INFRA.md) | `chat-tab-removal-retain-infra` | 2026-04-20 (0d) | coordinates_with: home-todo-single-pickup-surface, ccl-backend-chain-silent-autopilot-service, ccl-review-pickup-via-todo-and-addressee-fix, demo-mode-hardening-production-presentable-end-to-end, home-animation-order-and-demo-insert-fidelity, ui-responsiveness-hover-scroll-and-tab-navigation, userbubble-and-private-hub-tools-control-consolidation-and-sort, ux-realtime-navigation-programme | See brief §3 (Plan) |
| 🟡 | [CompactMatterWizard split by wizardMode](COMPACTMATTERWIZARD_SPLIT_BY_WIZARDMODE.md) | `compactmatterwizard-split-by-wizardmode` | 2026-04-20 (0d) | coordinates_with: inline-workbench-carve-up-and-ux-simplification, demo-mode-hardening-production-presentable-end-to-end | See brief §3 (Plan) |
| 🟡 | [Forms — IA, L&D, Undertaking, Complaint flow + register routing](FORMS_IA_LD_UNDERTAKING_COMPLAINT_FLOW.md) | `forms-ia-ld-undertaking-complaint-flow` | 2026-04-20 (0d) | depends_on: home-todo-single-pickup-surface; coordinates_with: forms-stream-persistence | See brief §3 (Plan) |
| 🟡 | [Home skeletons — aligned microcopy + cascaded load-in](HOME_SKELETONS_ALIGNED_CASCADE.md) | `home-skeletons-aligned-cascade` | 2026-04-20 (0d) | coordinates_with: home-conversion-panel-rebalance, home-todo-single-pickup-surface, home-animation-order-and-demo-insert-fidelity, demo-mode-hardening-production-presentable-end-to-end, forms-ia-ld-undertaking-complaint-flow, realtime-delta-merge-upgrade, ui-responsiveness-hover-scroll-and-tab-navigation, userbubble-and-private-hub-tools-control-consolidation-and-sort, ux-realtime-navigation-programme | See brief §3 (Plan) |
| 🟡 | [Home To Do — single pickup surface (replace pipeline + matters tiles)](HOME_TODO_SINGLE_PICKUP_SURFACE.md) | `home-todo-single-pickup-surface` | 2026-04-20 (0d) | coordinates_with: forms-stream-persistence, ccl-review-experience-calm-rail-override-rerun-fix-docx-fidelity, ccl-review-pickup-via-todo-and-addressee-fix, call-centre-external-attendance-note-and-clio-mirror, forms-ia-ld-undertaking-complaint-flow, chat-tab-removal-retain-infra, demo-mode-hardening-production-presentable-end-to-end, clio-token-refresh-shared-primitive, session-probing-activity-tab-visibility-and-persistence, ccl-prompt-feedback-loop-self-driving-template-improvement, ccl-review-landing-terser-intro-start-from-scratch-affordance-pipeline-toasting, home-animation-order-and-demo-insert-fidelity, realtime-delta-merge-upgrade, ui-responsiveness-hover-scroll-and-tab-navigation, userbubble-and-private-hub-tools-control-consolidation-and-sort, ux-realtime-navigation-programme; ⚠️ conflicts_with: ccl-backend-chain-silent-autopilot-service | See brief §3 (Plan) |
